iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"30-nov-2017"
Total Net Assets,"17,738,259,994.32"
,"179,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"HFC","HOLLYFRONTIER CORP","Equity","1.03","44.48","4,129,296.00","183,671,086.08","183,671,086.08","Energía","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.03","64.85","2,817,658.00","182,725,121.30","182,725,121.30","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.01","84.64","2,127,169.00","180,043,584.16","180,043,584.16","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"UFS","DOMTAR CORP","Equity","1.01","48.22","3,723,427.00","179,543,649.94","179,543,649.94","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","1.00","64.82","2,739,268.00","177,559,351.76","177,559,351.76","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","1.00","53.06","3,337,734.00","177,100,166.04","177,100,166.04","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.99","74.73","2,344,838.00","175,229,743.74","175,229,743.74","Financieros","2196888","US1720621010","NASDAQ"
"IP","INTERNATIONAL PAPER","Equity","0.98","56.61","3,061,899.00","173,334,102.39","173,334,102.39","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","0.97","84.88","2,031,848.00","172,463,258.24","172,463,258.24","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","0.97","38.56","4,468,493.00","172,305,090.08","172,305,090.08","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"WRK","WESTROCK","Equity","0.93","62.41","2,660,767.00","166,058,468.47","166,058,468.47","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.93","67.91","2,442,031.00","165,838,325.21","165,838,325.21","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.93","82.25","2,008,922.00","165,233,834.50","165,233,834.50","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.93","51.94","3,169,419.00","164,619,622.86","164,619,622.86","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"WDR","WADDELL AND REED FINANCIAL INC CLA","Equity","0.90","20.30","7,841,538.00","159,183,221.40","159,183,221.40","Financieros","2156503","US9300591008","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.88","65.83","2,370,308.00","156,037,375.64","156,037,375.64","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.87","56.56","2,727,174.00","154,248,961.44","154,248,961.44","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.83","51.61","2,853,989.00","147,294,372.29","147,294,372.29","Servicios","2614807","US98389B1008","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.82","47.66","3,073,457.00","146,480,960.62","146,480,960.62","Financieros","2619772","US6952631033","NASDAQ"
"T","AT&T INC","Equity","0.82","36.38","4,003,935.00","145,663,155.30","145,663,155.30","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.78","54.24","2,566,393.00","139,201,156.32","139,201,156.32","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.78","70.33","1,977,470.00","139,075,465.10","139,075,465.10","Industriales","2665861","US6937181088","NASDAQ"
"BKH","BLACK HILLS CORP","Equity","0.78","58.51","2,374,808.00","138,950,016.08","138,950,016.08","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.77","45.77","3,007,405.00","137,648,926.85","137,648,926.85","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.77","36.67","3,740,685.00","137,170,918.95","137,170,918.95","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.76","34.14","3,949,857.00","134,848,117.98","134,848,117.98","Servicios","2100920","US3379321074","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.76","55.27","2,437,890.00","134,742,180.30","134,742,180.30","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","0.75","43.17","3,075,411.00","132,765,492.87","132,765,492.87","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.73","41.71","3,129,523.00","130,532,404.33","130,532,404.33","Servicios","2670519","US30161N1019","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.73","49.90","2,598,965.00","129,688,353.50","129,688,353.50","Servicios","2219224","US1258961002","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.73","37.47","3,456,935.00","129,531,354.45","129,531,354.45","Materiales","B0G4K50","US1252691001","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.72","53.51","2,388,401.00","127,803,337.51","127,803,337.51","Materiales","2821395","US8354951027","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.71","45.11","2,800,888.00","126,348,057.68","126,348,057.68","Servicios","2973821","US0188021085","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.70","57.73","2,152,636.00","124,271,676.28","124,271,676.28","Productos básicos de consumo","2868165","US8718291078","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.67","14.59","8,209,726.00","119,779,902.34","119,779,902.34","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.66","36.26","3,221,580.00","116,814,490.80","116,814,490.80","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.65","48.24","2,383,069.00","114,959,248.56","114,959,248.56","Consumo discrecional","2510682","US5246601075","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.64","34.31","3,305,886.00","113,424,948.66","113,424,948.66","Servicios","2483706","US3911641005","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.63","44.84","2,494,153.00","111,837,820.52","111,837,820.52","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"BBT","BB AND T CORP","Equity","0.59","49.42","2,135,103.00","105,516,790.26","105,516,790.26","Financieros","2830904","US0549371070","New York Stock Exchange Inc."
"FII","FEDERATED INVESTORS INC CLASS B","Equity","0.59","33.56","3,137,321.00","105,288,492.76","105,288,492.76","Financieros","2246288","US3142111034","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.58","35.76","2,878,437.00","102,932,907.12","102,932,907.12","Servicios","2657802","US6708371033","New York Stock Exchange Inc."
"NJR","NEW JERSEY RESOURCES CORP","Equity","0.57","44.60","2,286,342.00","101,970,853.20","101,970,853.20","Servicios","2630513","US6460251068","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.56","50.88","1,972,376.00","100,354,490.88","100,354,490.88","Energía","2685717","US20825C1045","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.56","30.01","3,329,944.00","99,931,619.44","99,931,619.44","Servicios","2440637","US15189T1079","New York Stock Exchange Inc."
"UBSI","UNITED BANKSHARES INC","Equity","0.55","37.55","2,579,624.00","96,864,881.20","96,864,881.20","Financieros","2905794","US9099071071","NASDAQ"
"M","MACYS INC","Equity","0.54","23.80","4,058,591.00","96,594,465.80","96,594,465.80","Consumo discrecional","2345022","US55616P1049","New York Stock Exchange Inc."
"CNK","CINEMARK HOLDINGS INC","Equity","0.48","36.11","2,364,534.00","85,383,322.74","85,383,322.74","Consumo discrecional","B1W7RQ0","US17243V1026","New York Stock Exchange Inc."
"TRMK","TRUSTMARK CORP","Equity","0.46","33.94","2,430,567.00","82,493,443.98","82,493,443.98","Financieros","2340210","US8984021027","NASDAQ"
"HRB","H&R BLOCK INC","Equity","0.46","26.18","3,140,995.00","82,231,249.10","82,231,249.10","Consumo discrecional","2105505","US0936711052","New York Stock Exchange Inc."
"OLN","OLIN CORP","Equity","0.43","35.64","2,146,175.00","76,489,677.00","76,489,677.00","Materiales","2658526","US6806652052","New York Stock Exchange Inc."
