iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"30-jun-2017"
Total Net Assets,"17,043,987,091.69"
,"184,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LLY","ELI LILLY","Equity","1.04","82.30","2,158,747.00","177,664,878.10","177,664,878.10","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","1.03","56.61","3,107,302.00","175,904,366.22","175,904,366.22","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","1.03","38.75","4,534,416.00","175,708,620.00","175,708,620.00","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"ES","EVERSOURCE ENERGY","Equity","1.02","60.71","2,859,505.00","173,600,548.55","173,600,548.55","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.02","51.03","3,396,776.00","173,337,479.28","173,337,479.28","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
"PCG","PG&E CORP","Equity","1.01","66.37","2,603,941.00","172,823,564.17","172,823,564.17","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.01","72.45","2,379,541.00","172,397,745.45","172,397,745.45","Financieros","2196888","US1720621010","NASDAQ"
"BOH","BANK OF HAWAII CORP.","Equity","1.00","82.97","2,061,876.00","171,073,851.72","171,073,851.72","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.98","59.45","2,822,272.00","167,784,070.40","167,784,070.40","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.97","59.62","2,779,900.00","165,737,638.00","165,737,638.00","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.95","67.47","2,409,551.00","162,572,405.97","162,572,405.97","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
