iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-mar-2018"
Total Net Assets,"16,736,067,974.79"
,"175,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"IVZ","INVESCO LTD","Equity","1.16","32.01","6,087,995.00","194,876,719.95","194,876,719.95","Financieros","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.16","45.06","4,323,680.00","194,825,020.80","194,825,020.80","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"M","MACYS INC","Equity","1.15","29.74","6,464,451.00","192,252,772.74","192,252,772.74","Consumo discrecional","2345022","US55616P1049","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","1.15","111.22","1,722,923.00","191,623,496.06","191,623,496.06","Servicios","2138158","US8168511090","New York Stock Exchange Inc."
"NWL","NEWELL BRANDS INC","Equity","1.14","25.48","7,496,426.00","191,008,934.48","191,008,934.48","Consumo discrecional","2635701","US6512291062","New York Stock Exchange Inc."
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity","1.14","23.03","8,280,700.00","190,704,521.00","190,704,521.00","Consumo discrecional","2466321","US4606901001","New York Stock Exchange Inc."
"WU","WESTERN UNION","Equity","1.13","19.23","9,848,017.00","189,377,366.91","189,377,366.91","Tecnología de la Información","B1F76F9","US9598021098","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","1.10","79.91","2,298,710.00","183,689,916.10","183,689,916.10","Industriales","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","1.09","69.43","2,621,449.00","182,007,204.07","182,007,204.07","Consumo discrecional","2259101","US87612E1064","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.08","13.48","13,348,926.00","179,943,522.48","179,943,522.48","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","1.07","48.86","3,649,205.00","178,300,156.30","178,300,156.30","Energía","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","1.06","163.33","1,085,619.00","177,314,151.27","177,314,151.27","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","1.06","55.41","3,196,027.00","177,091,856.07","177,091,856.07","Tecnología de la Información","2714923","US7475251036","NASDAQ"
"IP","INTERNATIONAL PAPER","Equity","1.05","53.43","3,300,784.00","176,360,889.12","176,360,889.12","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"NI","NISOURCE INC","Equity","1.05","23.91","7,342,923.00","175,569,288.93","175,569,288.93","Servicios","2645409","US65473P1057","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","1.05","89.84","1,947,961.00","175,004,816.24","175,004,816.24","Consumo discrecional","2367480","US3724601055","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.99","77.37","2,147,896.00","166,182,713.52","166,182,713.52","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.95","74.26","2,137,195.00","158,708,100.70","158,708,100.70","Financieros","2196888","US1720621010","NASDAQ"
"HP","HELMERICH & PAYNE INC","Equity","0.93","66.56","2,330,210.00","155,098,777.60","155,098,777.60","Energía","2420101","US4234521015","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.91","68.30","2,233,722.00","152,563,212.60","152,563,212.60","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.89","156.38","956,998.00","149,655,347.24","149,655,347.24","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.89","37.73","3,953,160.00","149,152,726.80","149,152,726.80","Materiales","B0G4K50","US1252691001","New York Stock Exchange Inc."
"LAZ","LAZARD LTD CLASS A","Equity","0.87","52.56","2,780,936.00","146,165,996.16","146,165,996.16","Financieros","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.87","31.79","4,584,378.00","145,737,376.62","145,737,376.62","Servicios","2483706","US3911641005","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.86","64.17","2,249,615.00","144,357,794.55","144,357,794.55","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.86","32.77","4,376,482.00","143,417,315.14","143,417,315.14","Servicios","2657802","US6708371033","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","0.85","85.25","1,666,541.00","142,072,620.25","142,072,620.25","Consumo discrecional","2289874","US2371941053","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.84","52.08","2,701,066.00","140,671,517.28","140,671,517.28","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"GRMN","GARMIN LTD","Equity","0.83","58.93","2,358,883.00","139,008,975.19","139,008,975.19","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
"SYY","SYSCO CORP","Equity","0.82","59.96","2,285,916.00","137,063,523.36","137,063,523.36","Productos básicos de consumo","2868165","US8718291078","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.80","18.66","7,183,924.00","134,052,021.84","134,052,021.84","Financieros","B1W41J2","US7127041058","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.80","68.73","1,942,697.00","133,521,564.81","133,521,564.81","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.79","49.53","2,672,186.00","132,353,372.58","132,353,372.58","Financieros","2619772","US6952631033","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.78","59.29","2,210,385.00","131,053,726.65","131,053,726.65","Energía","2685717","US20825C1045","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.78","52.04","2,513,352.00","130,794,838.08","130,794,838.08","Financieros","2830904","US0549371070","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP INC","Equity","0.78","13.03","9,962,867.00","129,816,157.01","129,816,157.01","Financieros","2711656","US6494451031","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.76","337.93","377,679.00","127,629,064.47","127,629,064.47","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.73","44.36","2,753,479.00","122,144,328.44","122,144,328.44","Consumo discrecional","2510682","US5246601075","New York Stock Exchange Inc."
