iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-ago-2017"
Total Net Assets,"16,796,410,440.85"
,"182,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"LLY","ELI LILLY","Equity","1.04","81.29","2,141,135.00","174,052,864.15","174,052,864.15","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.03","51.50","3,367,912.00","173,447,468.00","173,447,468.00","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
"BKH","BLACK HILLS CORP","Equity","1.00","70.38","2,389,894.00","168,200,739.72","168,200,739.72","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.99","53.87","3,080,955.00","165,971,045.85","165,971,045.85","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.98","51.40","3,200,861.00","164,524,255.40","164,524,255.40","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.97","19.72","8,258,308.00","162,853,833.76","162,853,833.76","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.97","59.04","2,757,311.00","162,791,641.44","162,791,641.44","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","0.95","78.13","2,044,407.00","159,729,518.91","159,729,518.91","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.94","46.84","3,359,604.00","157,363,851.36","157,363,851.36","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.93","63.86","2,452,449.00","156,613,393.14","156,613,393.14","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.93","77.11","2,021,348.00","155,866,144.28","155,866,144.28","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"HP","HELMERICH & PAYNE INC","Equity","0.91","42.34","3,615,207.00","153,067,864.38","153,067,864.38","Energía","2420101","US4234521015","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.91","56.91","2,677,188.00","152,358,769.08","152,358,769.08","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"UFS","DOMTAR CORP","Equity","0.91","40.44","3,764,350.00","152,230,314.00","152,230,314.00","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.91","54.35","2,799,696.00","152,163,477.60","152,163,477.60","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.90","37.46","4,027,750.00","150,879,515.00","150,879,515.00","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.89","60.83","2,457,821.00","149,509,251.43","149,509,251.43","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.88","39.24","3,764,525.00","147,719,961.00","147,719,961.00","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","0.87","36.22","4,046,546.00","146,565,896.12","146,565,896.12","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.87","53.26","2,743,583.00","146,123,230.58","146,123,230.58","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"WDR","WADDELL AND REED FINANCIAL INC CLA","Equity","0.87","18.61","7,819,876.00","145,527,892.36","145,527,892.36","Financieros","2156503","US9300591008","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.85","49.50","2,871,256.00","142,127,172.00","142,127,172.00","Servicios","2614807","US98389B1008","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","0.85","31.53","4,496,231.00","141,766,163.43","141,766,163.43","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"PACW","PACWEST BANCORP","Equity","0.83","45.15","3,092,182.00","139,612,017.30","139,612,017.30","Financieros","2619772","US6952631033","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.82","57.90","2,384,852.00","138,082,930.80","138,082,930.80","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.82","45.55","3,025,551.00","137,813,848.05","137,813,848.05","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.79","66.33","1,989,511.00","131,964,264.63","131,964,264.63","Industriales","2665861","US6937181088","NASDAQ"
"HFC","HOLLYFRONTIER CORP","Equity","0.78","31.31","4,156,920.00","130,153,165.20","130,153,165.20","Energía","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.77","32.58","3,979,277.00","129,644,844.66","129,644,844.66","Servicios","2100920","US3379321074","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.76","48.54","2,614,395.00","126,902,733.30","126,902,733.30","Servicios","2219224","US1258961002","New York Stock Exchange Inc."
