iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"28-abr-2017"
Total Net Assets,"17,159,240,271.48"
,"187,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"KSS","KOHLS CORP","Equity","1.09","39.03","4,793,222.00","187,079,454.66","187,079,454.66","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.05","82.06","2,200,315.00","180,557,848.90","180,557,848.90","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","1.03","67.05","2,654,991.00","178,017,146.55","178,017,146.55","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.02","50.84","3,463,427.00","176,080,628.68","176,080,628.68","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.02","72.09","2,426,234.00","174,907,209.06","174,907,209.06","Financieros","2196888","US1720621010","NASDAQ"
"ES","EVERSOURCE ENERGY","Equity","1.01","59.40","2,915,634.00","173,188,659.60","173,188,659.60","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","1.00","81.48","2,101,656.00","171,242,930.88","171,242,930.88","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.99","53.97","3,168,468.00","171,002,217.96","171,002,217.96","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.99","60.28","2,833,540.00","170,805,791.20","170,805,791.20","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.98","58.55","2,876,639.00","168,427,213.45","168,427,213.45","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.97","68.02","2,456,907.00","167,118,814.14","167,118,814.14","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.95","39.63","4,140,467.00","164,086,707.21","164,086,707.21","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.94","57.51","2,821,376.00","162,257,333.76","162,257,333.76","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.91","62.33","2,521,156.00","157,143,653.48","157,143,653.48","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.91","49.39","3,178,626.00","156,992,338.14","156,992,338.14","Financieros","2619772","US6952631033","NASDAQ"
"UFS","DOMTAR CORP","Equity","0.89","39.65","3,853,291.00","152,782,988.15","152,782,988.15","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.88","44.05","3,453,809.00","152,140,286.45","152,140,286.45","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.88","72.78","2,078,785.00","151,293,972.30","151,293,972.30","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.86","38.11","3,868,598.00","147,432,269.78","147,432,269.78","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
