iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-dic-2017"
Total Net Assets,"17,886,024,438.17"
,"181,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"STX","SEAGATE TECHNOLOGY PLC","Equity","1.05","41.84","4,484,901.00","187,648,257.84","187,648,257.84","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"UFS","DOMTAR CORP","Equity","1.04","49.52","3,743,319.00","185,369,156.88","185,369,156.88","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","1.03","66.05","2,791,941.00","184,407,703.05","184,407,703.05","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.01","84.46","2,134,719.00","180,298,366.74","180,298,366.74","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","1.00","57.94","3,076,453.00","178,249,686.82","178,249,686.82","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.00","63.18","2,817,520.00","178,010,913.60","178,010,913.60","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.99","74.97","2,358,040.00","176,782,258.80","176,782,258.80","Financieros","2196888","US1720621010","NASDAQ"
"BOH","BANK OF HAWAII CORP.","Equity","0.98","85.70","2,047,665.00","175,484,890.50","175,484,890.50","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"WDR","WADDELL AND REED FINANCIAL INC CLA","Equity","0.98","22.34","7,841,538.00","175,179,958.92","175,179,958.92","Financieros","2156503","US9300591008","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.97","86.30","2,009,511.00","173,420,799.30","173,420,799.30","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.96","51.50","3,340,281.00","172,024,471.50","172,024,471.50","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.95","63.21","2,674,568.00","169,059,443.28","169,059,443.28","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.93","68.23","2,450,498.00","167,197,478.54","167,197,478.54","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.92","51.49","3,182,197.00","163,851,323.53","163,851,323.53","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.91","59.29","2,736,047.00","162,220,226.63","162,220,226.63","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.87","38.88","4,018,501.00","156,239,318.88","156,239,318.88","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.87","50.40","3,099,376.00","156,208,550.40","156,208,550.40","Financieros","2619772","US6952631033","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.84","63.28","2,377,015.00","150,417,509.20","150,417,509.20","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","0.84","63.24","2,375,904.00","150,252,168.96","150,252,168.96","Servicios","2829515","US2810201077","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.83","42.54","3,469,363.00","147,586,702.02","147,586,702.02","Materiales","B0G4K50","US1252691001","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.80","60.11","2,385,010.00","143,362,951.10","143,362,951.10","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.79","71.08","1,986,910.00","141,229,562.80","141,229,562.80","Industriales","2665861","US6937181088","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.77","56.27","2,446,977.00","137,691,395.79","137,691,395.79","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.77","16.68","8,249,264.00","137,597,723.52","137,597,723.52","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.77","45.88","2,989,253.00","137,146,927.64","137,146,927.64","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.76","48.11","2,842,964.00","136,774,998.04","136,774,998.04","Servicios","2614807","US98389B1008","NASDAQ"
"SYY","SYSCO CORP","Equity","0.73","60.73","2,155,295.00","130,891,065.35","130,891,065.35","Productos básicos de consumo","2868165","US8718291078","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.71","53.14","2,404,082.00","127,752,917.48","127,752,917.48","Materiales","2821395","US8354951027","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.69","39.41","3,135,923.00","123,586,725.43","123,586,725.43","Servicios","2670519","US30161N1019","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","0.69","39.78","3,096,166.00","123,165,483.48","123,165,483.48","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.69","47.30","2,592,373.00","122,619,242.90","122,619,242.90","Servicios","2219224","US1258961002","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.68","30.62","3,955,707.00","121,123,748.34","121,123,748.34","Servicios","2100920","US3379321074","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.67","42.61","2,795,853.00","119,131,296.33","119,131,296.33","Servicios","2973821","US0188021085","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.65","36.22","3,234,317.00","117,146,961.74","117,146,961.74","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.65","30.95","3,748,820.00","116,025,979.00","116,025,979.00","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.65","44.83","2,575,958.00","115,480,197.14","115,480,197.14","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.64","46.16","2,497,185.00","115,270,059.60","115,270,059.60","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"LEG","LEGGETT & PLATT INC","Equity","0.64","47.73","2,401,257.00","114,611,996.61","114,611,996.61","Consumo discrecional","2510682","US5246601075","New York Stock Exchange Inc."
"FII","FEDERATED INVESTORS INC CLASS B","Equity","0.63","36.08","3,137,321.00","113,194,541.68","113,194,541.68","Financieros","2246288","US3142111034","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.60","54.89","1,967,437.00","107,992,616.93","107,992,616.93","Energía","2685717","US20825C1045","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.60","32.24","3,320,589.00","107,055,789.36","107,055,789.36","Servicios","2483706","US3911641005","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.60","49.72","2,140,720.00","106,436,598.40","106,436,598.40","Financieros","2830904","US0549371070","New York Stock Exchange Inc."
"M","MACYS INC","Equity","0.57","25.19","4,076,806.00","102,694,743.14","102,694,743.14","Consumo discrecional","2345022","US55616P1049","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.53","32.91","2,896,439.00","95,321,807.49","95,321,807.49","Servicios","2657802","US6708371033","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.53","28.36","3,342,657.00","94,797,752.52","94,797,752.52","Servicios","2440637","US15189T1079","New York Stock Exchange Inc."
"NJR","NEW JERSEY RESOURCES CORP","Equity","0.52","40.20","2,296,275.00","92,310,255.00","92,310,255.00","Servicios","2630513","US6460251068","New York Stock Exchange Inc."
"UBSI","UNITED BANKSHARES INC","Equity","0.51","34.75","2,603,119.00","90,458,385.25","90,458,385.25","Financieros","2905794","US9099071071","NASDAQ"
"CNK","CINEMARK HOLDINGS INC","Equity","0.46","34.82","2,380,427.00","82,886,468.14","82,886,468.14","Consumo discrecional","B1W7RQ0","US17243V1026","New York Stock Exchange Inc."
"HRB","H&R BLOCK INC","Equity","0.46","26.22","3,151,283.00","82,626,640.26","82,626,640.26","Consumo discrecional","2105505","US0936711052","New York Stock Exchange Inc."
"TRMK","TRUSTMARK CORP","Equity","0.44","31.86","2,442,707.00","77,824,645.02","77,824,645.02","Financieros","2340210","US8984021027","NASDAQ"
"OLN","OLIN CORP","Equity","0.43","35.58","2,152,944.00","76,601,747.52","76,601,747.52","Materiales","2658526","US6806652052","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.39","21.38","3,225,635.00","68,964,076.30","68,964,076.30","Financieros","2659109","US6802231042","New York Stock Exchange Inc."
"NI","NISOURCE INC","Equity","0.37","25.67","2,602,909.00","66,816,674.03","66,816,674.03","Servicios","2645409","US65473P1057","New York Stock Exchange Inc."
"HUN","HUNTSMAN CORP","Equity","0.36","33.29","1,948,664.00","64,871,024.56","64,871,024.56","Materiales","B0650B9","US4470111075","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.33","18.70","3,121,057.00","58,363,765.90","58,363,765.90","Financieros","B1W41J2","US7127041058","NASDAQ"
"USD","USD CASH","Cash","0.32","100.00","56,900,377.00","56,900,377.35","56,900,377.35","Liquidez","-","-","-"
"PBI","PITNEY BOWES INC","Equity","0.30","11.18","4,862,885.00","54,367,054.30","54,367,054.30","Industriales","2690506","US7244791007","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP DS REP","Equity","0.30","13.02","4,073,224.00","53,033,376.48","53,033,376.48","Financieros","2711656","US6494451031","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.29","12.49","4,144,466.00","51,764,380.34","51,764,380.34","Consumo discrecional","2615468","US3453708600","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.27","17.45","2,784,482.00","48,589,210.90","48,589,210.90","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"CMC","COMMERCIAL METALS","Equity","0.26","21.32","2,196,279.00","46,824,668.28","46,824,668.28","Materiales","2213260","US2017231034","New York Stock Exchange Inc."
"FNB","FNB CORP","Equity","0.20","13.82","2,630,572.00","36,354,505.04","36,354,505.04","Financieros","2041308","US3025201019","New York Stock Exchange Inc."
"VLY","VALLEY NATIONAL","Equity","0.19","11.22","3,068,783.00","34,431,745.26","34,431,745.26","Financieros","2935326","US9197941076","New York Stock Exchange Inc."
"RRD","RR DONNELLEY AND SONS","Equity","0.17","9.30","3,258,053.00","30,299,892.90","30,299,892.90","Industriales","BYND5W0","US2578672006","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.17","1.00","29,617,801.00","29,617,801.22","29,617,801.22","Liquidez","-","US0669224778","-"
"UBFUT","CASH COLLATERAL USD UBFUT","Cash Collateral and Margins","0.02","100.00","2,914,200.00","2,914,200.00","2,914,200.00","Liquidez","-","-","-"
"ESH8","S&P500 EMINI MAR 18","Futures","0.00","2,676.00","641.00","0.00","85,765,800.00","Liquidez","-","-","Index And Options Market"
 
