iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"29-sep-2017"
Total Net Assets,"17,045,022,770.62"
,"182,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"MO","ALTRIA GROUP INC","Equity","1.02","63.42","2,749,854.00","174,395,740.68","174,395,740.68","Productos básicos de consumo","2692632","US02209S1033","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","1.02","56.82","3,067,929.00","174,319,725.78","174,319,725.78","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","1.01","62.84","2,744,674.00","172,475,314.16","172,475,314.16","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.00","60.44","2,823,273.00","170,638,620.12","170,638,620.12","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","1.00","83.36","2,035,807.00","169,704,871.52","169,704,871.52","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","0.98","41.61","4,029,268.00","167,657,841.48","167,657,841.48","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.97","51.77","3,178,760.00","164,564,405.20","164,564,405.20","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.96","68.87","2,379,018.00","163,842,969.66","163,842,969.66","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"UFS","DOMTAR CORP","Equity","0.95","43.39","3,730,781.00","161,878,587.59","161,878,587.59","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.92","78.27","2,012,750.00","157,537,942.50","157,537,942.50","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.92","39.17","4,010,602.00","157,095,280.34","157,095,280.34","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"WDR","WADDELL AND REED FINANCIAL INC CLA","Equity","0.92","20.07","7,819,876.00","156,944,911.32","156,944,911.32","Financieros","2156503","US9300591008","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.92","64.03","2,442,024.00","156,362,796.72","156,362,796.72","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.91","50.51","3,078,921.00","155,516,299.71","155,516,299.71","Financieros","2619772","US6952631033","NASDAQ"
"CTL","CENTURYLINK INC","Equity","0.91","18.90","8,223,476.00","155,423,696.40","155,423,696.40","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.91","46.25","3,344,175.00","154,668,093.75","154,668,093.75","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.91","55.50","2,786,512.00","154,651,416.00","154,651,416.00","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.89","56.73","2,665,758.00","151,228,451.34","151,228,451.34","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.88","61.48","2,446,393.00","150,404,241.64","150,404,241.64","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","0.88","48.49","3,080,371.00","149,367,189.79","149,367,189.79","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.87","35.97","4,137,204.00","148,815,227.88","148,815,227.88","Energía","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","0.87","33.17","4,476,960.00","148,500,763.20","148,500,763.20","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.86","61.55","2,374,614.00","146,157,491.70","146,157,491.70","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.84","72.34","1,980,903.00","143,298,523.02","143,298,523.02","Industriales","2665861","US6937181088","NASDAQ"
"PPL","PPL CORP","Equity","0.83","37.95","3,747,058.00","142,200,851.10","142,200,851.10","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.83","51.76","2,731,881.00","141,402,160.56","141,402,160.56","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.80","45.01","3,012,548.00","135,594,785.48","135,594,785.48","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
