iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-may-2017"
Total Net Assets,"17,064,629,521.88"
,"185,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"KSS","KOHLS CORP","Equity","1.07","38.43","4,730,085.00","181,777,166.55","181,777,166.55","Consumo discrecional","2496113","US5002551043","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","1.05","68.38","2,619,997.00","179,155,394.86","179,155,394.86","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.05","62.07","2,877,133.00","178,583,645.31","178,583,645.31","Servicios","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.04","52.04","3,417,686.00","177,856,379.44","177,856,379.44","Consumo discrecional","B3Z5T14","CH0114405324","NASDAQ"
"LLY","ELI LILLY","Equity","1.01","79.57","2,172,130.00","172,836,384.10","172,836,384.10","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.99","69.54","2,424,517.00","168,600,912.18","168,600,912.18","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.98","70.08","2,394,318.00","167,793,805.44","167,793,805.44","Financieros","2196888","US1720621010","NASDAQ"
"EMR","EMERSON ELECTRIC","Equity","0.97","59.12","2,797,210.00","165,371,055.20","165,371,055.20","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.97","52.88","3,126,707.00","165,340,266.16","165,340,266.16","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.95","65.11","2,488,828.00","162,047,591.08","162,047,591.08","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","0.95","77.73","2,074,748.00","161,270,162.04","161,270,162.04","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.93","56.74","2,784,308.00","157,981,635.92","157,981,635.92","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.92","38.53","4,087,622.00","157,496,075.66","157,496,075.66","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.90","54.10","2,835,259.00","153,387,511.90","153,387,511.90","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.90","44.91","3,408,509.00","153,076,139.19","153,076,139.19","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
