iShares Select Dividend ETF
Inception Date,"03-nov-2003"
Fund Holdings as of,"31-oct-2017"
Total Net Assets,"17,105,713,503.35"
,"180,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"UFS","DOMTAR CORP","Equity","1.03","47.32","3,709,563.00","175,536,521.16","175,536,521.16","Materiales","B1T84Z4","US2575592033","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","1.02","57.27","3,050,401.00","174,696,465.27","174,696,465.27","Materiales","2465254","US4601461035","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.02","81.94","2,119,188.00","173,646,264.72","173,646,264.72","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","1.01","43.04","4,006,300.00","172,431,152.00","172,431,152.00","Consumo discrecional","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"BOH","BANK OF HAWAII CORP.","Equity","0.97","81.61","2,024,127.00","165,189,004.47","165,189,004.47","Financieros","2074070","US0625401098","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.96","52.24","3,159,575.00","165,056,198.00","165,056,198.00","Servicios","2942605","US05379B1070","New York Stock Exchange Inc."
"STX","SEAGATE TECHNOLOGY PLC","Equity","0.96","36.97","4,451,636.00","164,576,982.92","164,576,982.92","Tecnología de la Información","B58JVZ5","IE00B58JVZ52","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.96","82.17","2,001,348.00","164,450,765.16","164,450,765.16","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.96","70.17","2,335,951.00","163,913,681.67","163,913,681.67","Financieros","2196888","US1720621010","NASDAQ"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.96","49.20","3,325,166.00","163,598,167.20","163,598,167.20","Servicios","2707677","US7445731067","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.95","61.33","2,650,643.00","162,563,935.19","162,563,935.19","Materiales","BYR0914","US96145D1054","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.91","18.99","8,176,642.00","155,274,431.58","155,274,431.58","Telecomunicaciones","2185046","US1567001060","New York Stock Exchange Inc."
"NUS","NU SKIN ENTERPRISES INC CLASS A","Equity","0.90","63.61","2,432,527.00","154,733,042.47","154,733,042.47","Productos básicos de consumo","2616870","US67018T1051","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP","Equity","0.90","65.26","2,365,500.00","154,372,530.00","154,372,530.00","Servicios","2101741","US0921131092","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.89","36.95","4,113,777.00","152,004,060.15","152,004,060.15","Energía","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.87","63.33","2,361,202.00","149,534,922.66","149,534,922.66","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.86","48.32","3,061,507.00","147,932,018.24","147,932,018.24","Financieros","2619772","US6952631033","NASDAQ"
"PCG","PG&E CORP","Equity","0.86","57.77","2,556,253.00","147,674,735.81","147,674,735.81","Servicios","2689560","US69331C1080","New York Stock Exchange Inc."
"MDP","MEREDITH CORP","Equity","0.86","53.00","2,769,694.00","146,793,782.00","146,793,782.00","Consumo discrecional","2578516","US5894331017","New York Stock Exchange Inc."
"WDR","WADDELL AND REED FINANCIAL INC CLA","Equity","0.86","18.69","7,841,538.00","146,558,345.22","146,558,345.22","Financieros","2156503","US9300591008","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.83","71.73","1,968,954.00","141,233,070.42","141,233,070.42","Industriales","2665861","US6937181088","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.82","51.92","2,716,520.00","141,041,718.40","141,041,718.40","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.82","49.52","2,842,878.00","140,779,318.56","140,779,318.56","Servicios","2614807","US98389B1008","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.82","37.56","3,725,942.00","139,946,381.52","139,946,381.52","Servicios","2680905","US69351T1060","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.81","45.98","2,995,592.00","137,737,320.16","137,737,320.16","Productos básicos de consumo","2206657","US1912161007","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.78","33.65","3,987,874.00","134,191,960.10","134,191,960.10","Telecomunicaciones","2831811","US00206R1023","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.78","55.09","2,428,166.00","133,767,664.94","133,767,664.94","Cuidado de la Salud","2778844","US58933Y1055","New York Stock Exchange Inc."
"SCG","SCANA CORP","Equity","0.77","43.14","3,062,935.00","132,135,015.90","132,135,015.90","Servicios","2545844","US80589M1027","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.76","37.98","3,443,419.00","130,781,053.62","130,781,053.62","Materiales","B0G4K50","US1252691001","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.76","32.95","3,934,122.00","129,629,319.90","129,629,319.90","Servicios","2100920","US3379321074","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.73","40.21","3,117,139.00","125,340,159.19","125,340,159.19","Servicios","2670519","US30161N1019","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.73","48.37","2,588,564.00","125,208,840.68","125,208,840.68","Servicios","2219224","US1258961002","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.72","51.79","2,378,821.00","123,199,139.59","123,199,139.59","Materiales","2821395","US8354951027","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.71","43.26","2,789,638.00","120,679,739.88","120,679,739.88","Servicios","2973821","US0188021085","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.70","55.62","2,144,005.00","119,249,558.10","119,249,558.10","Productos básicos de consumo","2868165","US8718291078","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.66","45.49","2,497,613.00","113,616,415.37","113,616,415.37","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"PFE","PFIZER INC","Equity","0.66","35.06","3,208,347.00","112,484,645.82","112,484,645.82","Cuidado de la Salud","2684703","US7170811035","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.66","47.26","2,373,158.00","112,155,447.08","112,155,447.08","Consumo discrecional","2510682","US5246601075","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.63","32.83","3,292,302.00","108,086,274.66","108,086,274.66","Servicios","2483706","US3911641005","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.62","36.84","2,882,427.00","106,188,610.68","106,188,610.68","Servicios","2657802","US6708371033","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.62","49.24","2,138,063.00","105,278,222.12","105,278,222.12","Financieros","2830904","US0549371070","New York Stock Exchange Inc."
"NJR","NEW JERSEY RESOURCES CORP","Equity","0.59","44.45","2,289,512.00","101,768,808.40","101,768,808.40","Servicios","2630513","US6460251068","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.59","51.15","1,975,111.00","101,026,927.65","101,026,927.65","Energía","2685717","US20825C1045","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.58","29.58","3,334,564.00","98,636,403.12","98,636,403.12","Servicios","2440637","US15189T1079","New York Stock Exchange Inc."
"FII","FEDERATED INVESTORS INC CLASS B","Equity","0.57","31.07","3,137,321.00","97,476,563.47","97,476,563.47","Financieros","2246288","US3142111034","New York Stock Exchange Inc."
"UBSI","UNITED BANKSHARES INC","Equity","0.54","35.95","2,583,204.00","92,866,183.80","92,866,183.80","Financieros","2905794","US9099071071","NASDAQ"
"CNK","CINEMARK HOLDINGS INC","Equity","0.50","36.34","2,367,814.00","86,046,360.76","86,046,360.76","Consumo discrecional","B1W7RQ0","US17243V1026","New York Stock Exchange Inc."
"TRMK","TRUSTMARK CORP","Equity","0.47","32.94","2,433,937.00","80,173,884.78","80,173,884.78","Financieros","2340210","US8984021027","NASDAQ"
"OLN","OLIN CORP","Equity","0.46","36.53","2,149,150.00","78,508,449.50","78,508,449.50","Materiales","2658526","US6806652052","New York Stock Exchange Inc."
