iShares Select Dividend ETF
Inception Date,"Nov 03, 2003"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"17,107,602,985.27"
Shares Outstanding,"187,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WEC","WEC ENERGY GROUP INC","Equity","1.11","60.63","3,130,145.00","189,780,691.35","189,780,691.35","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"MDP","MEREDITH CORP.","Equity","1.08","64.60","2,867,280.00","185,226,288.00","185,226,288.00","Consumer Discretionary","2578516","US5894331017","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","1.08","84.11","2,190,837.00","184,271,300.07","184,271,300.07","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","1.03","51.11","3,447,268.00","176,189,867.48","176,189,867.48","Consumer Discretionary","B3Z5T14","CH0114405324","NASDAQ"
"PCG","PG&E CORP","Equity","1.03","66.36","2,642,654.00","175,366,519.44","175,366,519.44","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.02","72.27","2,414,922.00","174,526,412.94","174,526,412.94","Financials","2196888","US1720621010","NASDAQ"
"BOH","BANK OF HAWAII CORP.","Equity","1.01","82.36","2,092,524.00","172,340,276.64","172,340,276.64","Financials","2074070","US0625401098","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.00","41.55","4,122,466.00","171,288,462.30","171,288,462.30","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","1.00","58.78","2,902,018.00","170,580,618.04","170,580,618.04","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.99","59.86","2,821,224.00","168,878,468.64","168,878,468.64","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.99","53.26","3,164,798.00","168,557,141.48","168,557,141.48","Financials","2619772","US6952631033","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.97","59.01","2,808,077.00","165,704,623.77","165,704,623.77","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"BKH","BLACK HILLS CORP.","Equity","0.95","66.47","2,445,367.00","162,543,544.49","162,543,544.49","Utilities","2101741","US0921131092","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.94","50.78","3,153,499.00","160,134,679.22","160,134,679.22","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.93","63.54","2,510,134.00","159,493,914.36","159,493,914.36","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
